"","Comp1","Comp2","Comp3","Comp4","Comp5"
"LFxTRC5108ps",0.0147779626183044,0.0164703058519036,0.0265423017423076,0.00043598716499606,0.00780367137620663
"LFxTRC5109ps",0.0195777538235469,0.00266114088541919,-0.00158998940409173,0.0165081585551779,0.000130602497194509
"LFxTRC5110ps",0.00122857445838984,0.00133087821550995,0.00394223662698404,0.00581873680460116,-0.001867182710873
"LFxTRC5111ps",-0.038196537716389,0.00174330502015566,0.0171102075699306,-0.00643792220844142,0.00353932844209902
"LFxTRC5112ps",-0.022157627892035,-0.023306770922431,0.00749574377609793,-0.00958435816188478,0.00199861710681267
"LFxTRC5113ps",-0.0103855248522092,0.0394726114040184,0.0259950770159337,0.00826828340533185,-0.00485143228582986
"LFxTRC5114ps",0.0073946214972992,0.00369733322275456,0.0187142224229578,-0.00634688092482544,-0.00824246368636535
"LFxTRC5115ps",-0.0512508452394099,0.000282503540204656,0.0121109802923701,-0.00911489697840283,-0.00663209863344264
"LFxTRC5116ps",0.0298231755300029,0.0309780079731602,0.0165903871071665,-0.0178013707984075,-0.00654203649876319
"LFxTRC5117ps",-0.0012000655049818,0.00339689792251618,-0.015804265665799,-0.00752093909458248,0.00926370952103416
"LFxTRC5118ps",0.00482513917022728,-0.00319335194545155,-0.00698979942312543,-0.00203085024967731,-0.00462328506277403
"LFxTRC5119ps",0.00361303333445149,-0.00140254558743805,-0.0237259575800008,0.00614642974759415,0.00760243321735998
"LFxTRC5120ps",-0.0233641909176625,-0.00380165521899775,0.018168638678201,0.0158085260290575,0.00652114269592922
"LFxTRC5121ps",0.0281650270289605,0.0118677818487267,0.00628487463139291,0.000559220560826959,-0.00205722677895218
"LFxTRC5122ps",-0.00376258791404697,0.0182491073148741,-0.0200717897466298,-0.0101904123199011,0.0115592587111101
"LFxTRC5123ps",0.024455088379231,0.00750412770790785,0.0115192223463736,-0.0241615462165202,-0.0119597624901698
"LFxTRC5124ps",0.00778539461521987,0.0017170266044777,0.00668612277713262,-0.00886351192319335,0.0129569335256374
"LFxTRC5125ps",0.016430130283081,-0.0100420135819809,-0.00276504628954052,-0.0156022812547731,-0.00627375711506304
"LFxTRC5126ps",-0.039703179055622,0.00533046383711565,0.0033034038012346,-0.00164159855260636,-0.00922985717691667
"LFxTRC5127ps",-0.0595033270468482,-0.00734635503510608,0.0011260746948505,-0.0087276100122605,0.00306789883464828
"LFxTRC5128ps",-0.0253676681592273,-0.0049591436311663,0.00711709474329847,-0.0108834067306869,0.0133236906753507
"LFxTRC5129ps",-0.0348271884810705,0.00445254105278665,0.00623445129152475,-0.0128132228558533,-0.00371376911608045
"LFxTRC5130ps",0.00329799538671683,0.00305850320885184,0.0044985821483101,-0.00356465319061753,-0.0150616987498558
"LFxTRC5131ps",0.00239806169091037,0.0138827759290951,0.0204104016920645,-0.00780555213245834,-0.00403062075453707
"LFxTRC5132ps",-0.0443271576902639,0.0183642845221433,0.0132328083311936,0.00985365331037073,-0.0004663662583199
"LFxTRC5133ps",-0.00406954633443156,-0.0131956586829927,0.0101006014120117,-0.010638746975576,-0.00314346356477903
"LFxTRC5134ps",0.00481449711031462,-0.0139500438751374,0.00432830031476405,-0.0102112744600148,-0.0106835126901237
"LFxTRC5135ps",-0.0277010866648699,-0.00792018827119123,0.00599781156737309,-0.0203225116842904,0.00646813709630872
"LFxTRC5136ps",0.00182581499709798,0.00465092486579817,0.0116272306935895,-0.00365768002272307,0.0062176061388189
"LFxTRC5137ps",-0.0218749332314701,-0.00224226129234283,-0.0206856742419529,-0.0171763139868435,0.0114722163138702
"LFxTRC5138ps",0.0123154849643977,0.022001382752417,-0.000504566194490342,0.00138063435629471,-0.0103088331341542
"LFxTRC5139ps",-0.00215614254841365,-0.0179499361450749,0.0131115035343922,-0.0055502504489182,0.014664134266987
"LFxTRC5140ps",-0.0300654982449194,-0.00487465056691742,0.0324152397023311,0.0070064802502261,-0.0175068693323163
"LFxTRC5141ps",-0.00590356008212269,0.00918143493621204,0.00089828936396492,-0.0193484305394951,0.00995683203080335
"LFxTRC5142ps",-0.0379816782390537,0.0217524070521334,0.021420908909485,0.0151125963878256,0.00312720958276523
"LFxTRC5143ps",0.022369464098334,-0.0026491749331091,0.00202519092180089,-0.0225511831046288,0.00320983329954771
"LFxTRC5144ps",-0.031453883641652,-0.00995961506136653,0.0103465157149686,0.007177307700985,3.53844175143845e-05
"LFxTRC5153ps",0.0332217480760318,-0.0118731058396635,0.00146797753609371,0.00696421343406347,-0.00549673303134435
"LFxTRC5155ps",0.00890066357044714,-0.0182973071991644,0.0168173966235234,0.00754620080610805,-0.00672783716461427
"LFxTRC5156ps",-0.00935467672695019,0.0192378259926515,0.0160446246619249,0.00914262640327004,0.000914820508551572
"LFxTRC5157ps",0.0303073796806038,0.011456342329103,-0.0117809764604216,-0.0150593465433624,-0.0120341708871168
"LFxTRC5158ps",0.0145830847578573,-0.0213832306231375,-0.014949226377984,0.00307649854093674,-0.000441934705997624
"LFxTRC5159ps",-0.00244071388928377,-0.0361851316036514,-0.000318809064904964,-0.00648065770192076,-0.00127012281244642
"LFxTRC5161ps",-0.00288995855017242,-0.00393794424681951,-0.0124069237278804,0.0141294667156388,-0.00327330276389632
"LFxTRC5162ps",-0.0290322274363314,-0.00907532739832828,-0.0200140487742413,0.0103299296453968,-0.00432958439709192
"LFxTRC5164ps",-0.0322918490800366,0.0171151889559431,0.0062129953195988,0.0116984434211845,0.000135305075702971
"LFxTRC5165ps",-0.0329974691986289,-0.0147300626994428,0.0209670633413053,-0.00518553555006356,0.00951498119561164
"LFxTRC5166ps",0.034952941916838,-0.0026321340050404,0.0231428210789514,0.0106398382545346,0.00524164118453919
"LFxTRC5167ps",-0.00936534732493832,0.0159146422047949,0.0120106735467824,-0.0194421165332849,0.0201560943823756
"LFxTRC5168ps",0.0138380366205408,0.00299437262719877,0.00723153373269276,-0.0115997531094854,-0.00799159135854972
"LFxTRC5169ps",-0.0660940714140482,-0.0200500043699141,-0.013235535963121,-0.0112592914538613,-0.0157386420147207
"LFxTRC5170ps",-0.011228082802186,0.0296091868010184,-0.0149853399938963,-0.0159491938683364,0.0184466301991908
"LFxTRC5171ps",0.00191691545084703,0.00340073932212908,-0.00467676999784936,0.00486180498250189,0.0339947257237961
"LFxTRC5172ps",-0.019555293421062,-0.0194861193707212,-0.0132069721648923,-0.0183998688164912,-0.00296903770780595
"LFxTRC5173ps",-0.0313125846692597,-0.00234514892466092,-0.00313753013969198,-0.0135902210843477,0.00944062183521
"LFxTRC5174ps",0.0158501651330356,-0.00324816984422882,-0.00326385743445453,-0.00768726203397096,-0.00726705643605588
"LFxTRC5175ps",-0.060667316924972,0.0178650571290829,-0.00487812738751823,0.00141242511110992,0.00734755110045389
"LFxTRC5176ps",-0.016075273462505,0.0170121881719932,-0.00537678413043581,-0.00831361173443284,-0.014536639367229
"LFxTRC5177ps",0.0154065436951524,-0.011000629346553,0.0213559042733723,0.00540114018351682,0.0014929621445922
"LFxTRC5178ps",0.00792468681932146,-0.00912404655046543,0.00150811909548751,-0.00312552884712099,-0.00998552328765558
"LFxTRC5179ps",0.0435102515277408,0.00116133347385601,0.0165897991586717,-0.00511028536848866,0.016209583172199
"LFxTRC5180ps",0.0127620748459527,0.0145199367669621,-0.0103020338206405,-0.00713257694442139,0.0133553358481958
"LFxTRC5181ps",0.0201175935282828,-0.00598415509060103,-0.0114125237066659,-0.00123284959308753,-0.0041915628704863
"LFxTRC5182ps",-0.000617002799427781,0.0185528389057032,-0.00661328389625548,0.00334320236665512,0.00178484916353119
