"","log likelihood","AICc","Alpha Peak 1","Alpha Peak 2","Rate Peak 1","Rate Peak 2","Theta Peak 1","Theta Peak 2"
"155",64.5464483767414,-118.987633595588,35.8477308142017,35.8477308142017,0.0193625058674618,0.0193625058674618,0.0330546101018678,-0.0103380809364522
"156",63.0403032546242,-115.975343351354,100,100,0.0612492449377596,0.0612492449377596,0.0276486730871868,-0.00880979023918146
"157",62.0931200099943,-114.080976862094,100,100,0.0662614319154625,0.0662614319154625,0.0264402271834458,-0.00862771383894031
"158",60.6706652540834,-111.236067350272,100,100,0.0746157309580056,0.0746157309580056,0.0255001951068871,-0.00777863778777274
"159",63.1030618392049,-116.100860520515,71.17929439639,71.17929439639,0.0433637121267091,0.0433637121267091,0.0256649793077868,-0.0100135441235573
"160",62.7874590684415,-115.469654978988,100,100,0.0625480297060083,0.0625480297060083,0.0294517847843716,-0.00910503536326122
"161",59.7948704118063,-109.484477665718,100,100,0.0802554884251197,0.0802554884251197,0.0213760902964775,-0.00899748510043095
"162",59.7486583445378,-109.392053531181,100,100,0.0805682071100137,0.0805682071100137,0.020370015093374,-0.00997339726777753
"163",59.135228187811,-108.165193217727,100,100,0.0847768936654567,0.0847768936654567,0.0221391131931742,-0.00601338842358687
"164",63.2747096879407,-116.444156217987,74.752248749839,74.752248749839,0.0448920782579531,0.0448920782579531,0.025671593966391,-0.0106329967845977
"165",63.8301219606021,-117.554980763309,15.9853144924085,15.9853144924085,0.00916612503520716,0.00916612503520716,0.0267705855613105,-0.0126799289865343
"166",62.0576932000359,-114.010123242177,100,100,0.0664659106945597,0.0664659106945597,0.0276212130472686,-0.00908066645658986
"167",63.1716374619533,-116.238011766012,69.2967137990662,69.2967137990662,0.0419754982877676,0.0419754982877676,0.0263889017058937,-0.0102714814639519
"168",63.7244750064226,-117.34368685495,60.0466745311747,60.0466745311747,0.0347387294063915,0.0347387294063915,0.0310123494682477,-0.00989849456846585
"169",62.3405612694785,-114.575859381062,100,100,0.0649181677898335,0.0649181677898335,0.0262025552825959,-0.00923303794396118
"170",61.5861982819431,-113.067133405991,100,100,0.0691489488625513,0.0691489488625513,0.0251345509461609,-0.00875579694525375
"171",63.4845490989578,-116.863835040021,66.0051979675049,66.0051979675049,0.0389513732014572,0.0389513732014572,0.027919714242007,-0.0103370034723777
"172",62.9634780871726,-115.82169301645,100,100,0.0616376326726448,0.0616376326726448,0.0266070044555946,-0.00961632425692001
"173",62.7685163015388,-115.431769445183,100,100,0.0626431676649831,0.0626431676649831,0.0260766260427701,-0.00960626660348793
"174",63.1780962382948,-116.250929318695,56.0507180222767,56.0507180222767,0.0339302519117064,0.0339302519117064,0.0268810678183989,-0.0106128334421039
"175",63.0330137290917,-115.960764300289,100,100,0.0612892964639385,0.0612892964639385,0.0263961264281888,-0.0105038231339071
"176",63.56073716298,-117.016211168065,43.0413507544179,43.0413507544179,0.025238930424716,0.025238930424716,0.0273547298680404,-0.0100948132597307
"177",63.0217255084712,-115.938187859048,100,100,0.0613293741802294,0.0613293741802294,0.0256857824922102,-0.00976744021725073
"178",63.0172247900973,-115.9291864223,100,100,0.0613583612263818,0.0613583612263818,0.0263235124195076,-0.0102493176200689
"179",62.974844504074,-115.844425850253,100,100,0.0615781069590014,0.0615781069590014,0.025543488190222,-0.00974930155258757
"180",62.8591029983149,-115.612942838735,100,100,0.0621764764276116,0.0621764764276116,0.0254268939427267,-0.010661676875976
"181",58.5095411301028,-106.913819102311,100,100,0.0893207861444866,0.0893207861444866,0.0189969619122724,-0.00697192522375241
"182",62.4258343300531,-114.746405502212,100,100,0.0644586568584993,0.0644586568584993,0.0260493186789096,-0.00956415279330416
"183",62.5507107980779,-114.996158438261,30.3130475628291,30.3130475628291,0.0193382005865824,0.0193382005865824,0.030605733901611,-0.00965083459533223
"184",62.8794033425674,-115.65354352724,100,100,0.0620679198404135,0.0620679198404135,0.0256300057534025,-0.0096781333906831
"185",63.8223931814736,-117.539523205052,13.3535608641896,13.3535608641896,0.00766301471245376,0.00766301471245376,0.030810384062533,-0.0114404693792034
